country,iso_code,entity_type,year,population,gdp,primary_energy_consumption,energy_per_capita,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,solar_share_energy,wind_share_energy,hydro_share_energy,greenhouse_gas_emissions
Africa,,Region,1990,643490587,,2610.341064,4056.533447,92.88253784,6.214662552,7.117459297,0.902796924,0,0,6.11780405,
Africa,,Region,1991,660810865,,2605.74707,3943.25708,92.42808533,6.592874527,7.571913242,0.979038715,0,0,6.49389267,
Africa,,Region,1992,678257033,,2642.723389,3896.344971,92.81143188,6.208268642,7.18857193,0.980303288,0,0,6.106872559,
Africa,,Region,1993,696302246,,2650.902588,3807.114746,93.16087341,6.075866699,6.839130402,0.763263464,0,0.00021041,5.963292599,
Africa,,Region,1994,714183914,,2740.532227,3837.291992,93.05460358,5.958602905,6.945394516,0.986791432,0,0.000549518,5.861121178,
Africa,,Region,1995,732395090,,2849.608154,3890.807373,92.93251038,5.961485386,7.067490101,1.106004953,0,0.000616568,5.847633362,
Africa,,Region,1996,751187001,,2923.5354,3891.887695,92.79670715,6.079956055,7.203289509,1.123333573,0,0.000677339,5.943208218,
Africa,,Region,1997,770098458,,2985.12915,3876.29541,92.70677948,6.111552238,7.293218136,1.181665778,0,0.000672728,5.964099407,
Africa,,Region,1998,789672411,,3028.711426,3835.402344,92.42892456,6.318395138,7.571072578,1.252677321,0,0.000699974,6.13903904,
Africa,,Region,1999,809745318,,3121.757813,3855.234131,92.36244965,6.490368843,7.637548923,1.147179604,0,0.001769429,6.316705227,
Africa,,Region,2000,830226481,,3196.580078,3850.250732,92.05155182,6.812817574,7.948448181,1.135630488,0.001055412,0.015319227,6.573046207,273.9700012
Africa,,Region,2001,851317075,,3318.360352,3897.913574,92.07968903,7.023974419,7.92030859,0.896334171,0.001258748,0.03475124,6.765831947,284.7200012
Africa,,Region,2002,873025213,,3361.184326,3850.042725,91.78230286,7.235608101,8.217694283,0.982086599,0.001347919,0.036330409,6.967252731,300.9599915
Africa,,Region,2003,895336412,,3512.795654,3923.436523,92.28218842,6.731312275,7.717813492,0.986501336,0.001502173,0.041725438,6.436218262,318.5499878
Africa,,Region,2004,918363272,,3819.39917,4158.919922,92.51258087,6.53521204,7.487420082,0.952208042,0.001656811,0.054736789,6.214529991,336.9700012
Africa,,Region,2005,942115143,,3787.716553,4020.439209,92.55098724,6.644129753,7.449008942,0.80487901,0.00193193,0.055621829,6.33225584,350.5500183
Africa,,Region,2006,966491337,,3871.460205,4005.685303,92.54550934,6.759122372,7.454487324,0.695364952,0.002433792,0.059133559,6.384560585,368.230011
Africa,,Region,2007,991615906,,4012.791748,4046.719727,92.57039642,6.676439762,7.4296031,0.753163218,0.002936905,0.067638047,6.336038589,382.7399902
Africa,,Region,2008,1017632831,,4258.883301,4185.088379,92.81542206,6.375640392,7.184574127,0.808933556,0.003888341,0.081609629,6.031673431,386.6900024
Africa,,Region,2009,1044356804,,4315.664551,4132.366211,92.7634964,6.454547405,7.236507416,0.781959891,0.005101402,0.097061433,6.079751968,384.0100098
Africa,,Region,2010,1071809929,,4460.19043,4161.363281,92.47080231,6.735987663,7.529196739,0.793209016,0.011793205,0.133973822,6.314655781,411.1799927
Africa,,Region,2011,1099732995,,4529.279297,4118.526367,92.43967438,6.819191456,7.560323715,0.741132319,0.033707667,0.137164176,6.36088419,420.75
Africa,,Region,2012,1128396676,,4734.075684,4195.400391,92.736763,6.554425716,7.263235092,0.708809376,0.051882397,0.137619331,6.06084013,442.2000122
Africa,,Region,2013,1158293959,,4888.161621,4220.13916,92.55615997,6.702683449,7.443837643,0.741154015,0.038759854,0.188928321,6.164254189,447.8399963
Africa,,Region,2014,1188685762,,5049.482422,4247.954102,92.30485535,6.997135162,7.695141315,0.698006153,0.093897231,0.256168664,6.283324718,459.6399841
Africa,,Region,2015,1219484027,,5163.164063,4233.89209,92.37499237,7.022667885,7.625004768,0.602336824,0.174542621,0.438719243,5.954283237,472.0700073
Africa,,Region,2016,1250551239,,5280.842773,4222.812012,92.34963989,6.932607174,7.650363445,0.71775645,0.251195222,0.533978999,5.700225353,479.3099976
Africa,,Region,2017,1282169538,,5444.701172,4246.475098,92.16625214,7.179438114,7.83374548,0.654307246,0.318614691,0.627609789,5.787045002,485.9400024
Africa,,Region,2018,1314609397,,5530.572754,4207.008301,91.87844086,7.598577023,8.121560097,0.522983074,0.3763915,0.666795313,6.070496559,499.7000122
Africa,,Region,2019,1347162538,,5681.83252,4217.629395,91.57963562,7.840519905,8.420368195,0.579847753,0.482745886,0.843743622,6.031164646,503.6000061
Africa,,Region,2020,1379939686,,5412.60498,3922.348877,90.72618866,8.819854736,9.273809433,0.453954697,0.695923388,0.876065016,6.75724411,486.2399902
Africa,,Region,2021,1412811077,,5870.373535,4155.101563,90.76393127,8.715218544,9.236068726,0.520849824,0.735970259,0.967944145,6.555725098,504.5
Africa,,Region,2022,1445862695,,5954.654297,4118.40918,90.66081238,8.920485497,9.339186668,0.418701231,0.714142382,1.024951458,6.712740898,506.9299927
Africa,,Region,2023,1479690254,,6050.291992,4088.890869,90.45652008,9.215276718,9.543483734,0.328207344,0.768357456,1.151153684,6.771502972,506.2799988
Africa,,Region,2024,1514032368,,6139.62793,4055.149658,90.33451843,9.354101181,9.665484428,0.31138286,0.832918823,1.160558224,6.789574146,523.3300171
Asia,,Region,1990,3209094423,,25686.19727,8004.188477,91.83139801,5.051873684,8.168601036,3.116726637,4.34E-05,0.000361705,4.820817947,
Asia,,Region,1991,3268207608,,26742.18555,8182.523438,91.8943634,4.908610344,8.105636597,3.197026253,4.17E-05,0.001282293,4.681147099,
Asia,,Region,1992,3324812378,,27935.55469,8402.144531,92.12354279,4.73490572,7.876458168,3.141552448,0.000154668,0.002203099,4.513204098,
Asia,,Region,1993,3380039932,,29123.30078,8616.259766,91.63551331,5.024381638,8.364484787,3.340103388,0.000272856,0.002966479,4.812704563,
Asia,,Region,1994,3433680236,,30625.48633,8919.143555,91.82969666,4.780127525,8.170303345,3.390175343,0.000327695,0.005262037,4.539538383,
Asia,,Region,1995,3486817949,,31881.82031,9143.52832,91.41957092,4.989715099,8.580430031,3.590714693,0.000432984,0.009747499,4.70816803,
Asia,,Region,1996,3539849816,,33290.74219,9404.563477,91.61740112,4.750860214,8.382597923,3.631737709,0.000607623,0.008180387,4.478057384,
Asia,,Region,1997,3592367920,,34256.44141,9535.894531,91.60933685,4.636395454,8.390665054,3.754269838,0.000946912,0.009731156,4.336203575,
Asia,,Region,1998,3644341780,,34322.67578,9418.072266,91.19233704,4.907984257,8.807661057,3.8996768,0.001359153,0.011843368,4.586740494,
Asia,,Region,1999,3695620583,,35413.875,9582.660156,91.48284149,4.674832344,8.517158508,3.842325687,0.00193373,0.015976936,4.329349041,
Asia,,Region,2000,3746832777,,36891.33203,9846.004883,91.55726624,4.649407387,8.442737579,3.793329954,0.002873454,0.018002667,4.28130722,3027.110107
Asia,,Region,2001,3797954107,,38139.58984,10042.14063,91.48691559,4.816589355,8.513081551,3.696492195,0.004015638,0.023261726,4.445023537,3166.910156
